#,Dataset title,"Domain Name / link (if highlighted in red, it's a duplicate! So don't add it...)","License (default is UNKNOWN)",Release (Issue date) ,Glottocode,Language(s) (or family),Dialect/accent (if known),Subject,Format,Collection Style (Manual Curation vs Crowdsourced(web)) ?,What it is / why we want it (5-25 words),Volume (estimates),"Contains Personal Information? (-1=unlikely, 0=neutral, 1=likely)",Owner,Usage and relation to other datasets ,Comments
120,guate vision,http://www.guatevision.com/envivo/,unknown,multiple releases,,es,gt,general news,text (web),manual,,unknown,unknown,guate vision,,
121,upi -spanish,https://espanol.upi.com/,unknown,multiple releases,,es,usa,general news,text (web),manual,,unknown,unknown,upi -spanish,,
122,el diario de lujan,http://www.diariodelujan.com/,unknown,multiple releases,,es,argentina,general news,text (web),manual,,unknown,unknown,el diario de lujan,,
123,espacioteca,https://espacioteca.com/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,espacioteca,,
124,quedate a ver,https://www.vtv.gob.ve/,unknown,multiple releases,,es,venezuela,general news,text (web),manual,,unknown,unknown,quedate a ver,,
125,"las noticias de tu localidad, comarca, barrio",https://www.noticiasde.es/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,"las noticias de tu localidad, comarca, barrio",,
126,canarias7,https://www.canarias7.es/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,canarias7,,
127,ezanime,https://www.ezanime.net/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,ezanime,,
128,noticias,http://noticias.perfil.com/,unknown,multiple releases,,es,argentina,general news,text (web),manual,,unknown,unknown,noticias,,
129,global vision consulting ltd. - spanish,https://gvconsulting.com/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,global vision consulting ltd. - spanish,,
130,andalucia informacion,https://www.elperiodicomediterraneo.com/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,andalucia informacion,,
131,vanguardia de sevilla,http://www.vanguardiadesevilla.com/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,vanguardia de sevilla,,
132,iresiduo,https://iresiduo.com/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,iresiduo,,
